orden,id_evidencia,fecha,codigos_en_entrevista,codigos_nuevos,codigos_acumulados,promedio_nuevos_ultimas_3,umbral_5pct_hasta_aqui,saturado_hasta_aqui
1,EV-01,2026-05-14,5,5,5,,0.25,
2,EV-02,2026-06-30,4,4,9,,0.45,
3,EV-08,2026-07-13,3,3,12,4.0,0.6,False
4,EV-09,2026-07-13,1,1,13,2.667,0.65,False
5,EV-10,2026-07-21,5,5,18,3.0,0.9,False
6,EV-11,2026-07-22,4,4,22,3.333,1.1,False
7,EV-12,2026-07-24,3,3,25,4.0,1.25,False
8,EV-13,2026-07-27,3,3,28,3.333,1.4,False
9,EV-14,2026-07-28,4,4,32,3.333,1.6,False
10,EV-16,2026-07-30,4,4,36,3.667,1.8,False
11,EV-20,2026-09-03,9,4,40,4.0,2.0,False
12,EV-21,2026-09-03,11,3,43,3.667,2.15,False
13,EV-22,2026-09-03,14,3,46,3.333,2.3,False
14,EV-23,2026-09-03,12,1,47,2.333,2.35,True
15,EV-24,2026-09-03,7,1,48,1.667,2.4,True
16,EV-25,2026-09-03,13,2,50,1.333,2.5,True
