codigo_participante,perfil,evidencia,fecha_sesion,sesion,archivo_consentimiento,deposito,alcance_autorizado,citable_en_manuscrito,como_consta
CONS-01,Conserje,EV-01,2026-05-14,Entrevista semiestructurada,02_Evidencias/Consentimientos/2026-05-14_Conserje_CONS-01_Consentimiento.pdf,"Depositado, con los datos identificables censurados",Curso y publicacion cientifica revisada por pares,Si,"Cubierto por la adenda de segunda ronda del expediente etico de la Entrega 2A, segun 02_Evidencias/Etica/resumen_proceso_etico.md, apartado 2"
COORD-01,Coordinacion,EV-02,2026-06-30,Entrevista semiestructurada,02_Evidencias/Consentimientos/2026-06-30_Coordinacion_COORD-01_Consentimiento.pdf,"Depositado, con los datos identificables censurados",Curso y publicacion cientifica revisada por pares,Si,"Cubierto por la adenda de segunda ronda del expediente etico de la Entrega 2A, segun 02_Evidencias/Etica/resumen_proceso_etico.md, apartado 2"
CONS-02,Conserje,EV-08,2026-07-13,Entrevista semiestructurada,02_Evidencias/Consentimientos/2026-07-13_Conserje_CONS-02_Consentimiento.pdf,"Depositado, con los datos identificables censurados",Curso y publicacion cientifica revisada por pares,Si,"Cubierto por la adenda de segunda ronda del expediente etico de la Entrega 2A, segun 02_Evidencias/Etica/resumen_proceso_etico.md, apartado 2"
CONS-03,Conserje,EV-09,2026-07-13,Entrevista semiestructurada,02_Evidencias/Consentimientos/2026-07-13_Conserje_CONS-03_Consentimiento.pdf,"Depositado, con los datos identificables censurados",Curso y publicacion cientifica revisada por pares,Si,"Cubierto por la adenda de segunda ronda del expediente etico de la Entrega 2A, segun 02_Evidencias/Etica/resumen_proceso_etico.md, apartado 2"
COORD-02,Coordinacion,EV-10,2026-07-21,Entrevista semiestructurada,02_Evidencias/Consentimientos/2026-07-21_Coordinacion_COORD-02_Consentimiento.pdf,"Depositado, con los datos identificables censurados",Curso y publicacion cientifica revisada por pares,Si,"Cubierto por la adenda de segunda ronda del expediente etico de la Entrega 2A, segun 02_Evidencias/Etica/resumen_proceso_etico.md, apartado 2"
CONS-04,Conserje,EV-11,2026-07-22,Entrevista semiestructurada,02_Evidencias/Consentimientos/2026-07-22_Conserje_CONS-04_Consentimiento.pdf,"Depositado, con los datos identificables censurados",Curso y publicacion cientifica revisada por pares,Si,"Cubierto por la adenda de segunda ronda del expediente etico de la Entrega 2A, segun 02_Evidencias/Etica/resumen_proceso_etico.md, apartado 2"
DOC-01,Docente,EV-12,2026-07-24,Entrevista semiestructurada,02_Evidencias/Consentimientos/2026-07-24_Docente_DOC-01_Consentimiento.pdf,"Depositado, con los datos identificables censurados",Curso y publicacion cientifica revisada por pares,Si,"Cubierto por la adenda de segunda ronda del expediente etico de la Entrega 2A, segun 02_Evidencias/Etica/resumen_proceso_etico.md, apartado 2"
DOC-02,Docente,EV-13,2026-07-27,Entrevista semiestructurada,02_Evidencias/Consentimientos/2026-07-27_Docente_DOC-02_Consentimiento.pdf,"Depositado, con los datos identificables censurados",Curso y publicacion cientifica revisada por pares,Si,"Cubierto por la adenda de segunda ronda del expediente etico de la Entrega 2A, segun 02_Evidencias/Etica/resumen_proceso_etico.md, apartado 2"
COORD-03,Coordinacion,EV-14,2026-07-28,Entrevista semiestructurada,02_Evidencias/Consentimientos/2026-07-28_Coordinacion_COORD-03_Consentimiento.pdf,"Depositado, con los datos identificables censurados",Curso y publicacion cientifica revisada por pares,Si,"Cubierto por la adenda de segunda ronda del expediente etico de la Entrega 2A, segun 02_Evidencias/Etica/resumen_proceso_etico.md, apartado 2"
DOC-04,Docente,EV-16,2026-07-30,Entrevista semiestructurada,02_Evidencias/Consentimientos/2026-07-30_Docente_DOC-04_Consentimiento.pdf,"Depositado, con los datos identificables censurados",Curso y publicacion cientifica revisada por pares,Si,"Cubierto por la adenda de segunda ronda del expediente etico de la Entrega 2A, segun 02_Evidencias/Etica/resumen_proceso_etico.md, apartado 2"
