Marca temporal,0. ¿Aceptas que tus respuestas anónimas se usen con fines académicos de este proyecto? ,1. ¿A qué nivel estás cursando actualmente? ,2. ¿Cuántas horas al día pasas en aulas de la FCC? ,3. ¿Desde qué dispositivo consultarías el estado de un aula? ,4.  Temperatura incómoda en el aula ,5.  Proyector dañado o sin señal ,"6.   Conflicto de ""aula ocupada"" cuando no debería estarlo ",7.  Wi-Fi fallando durante clase ,8.  Interrupción de clase por mantenimiento ,9. Recibir notificación de un problema antes de llegar al aula ,10.  Ver en tiempo real qué aulas están libres ,11.  Que el aire acondicionado se ajuste automáticamente ,12.  Poder reportar una falla desde el celular ,13.  Consultar el historial de fallas de un aula ,14.  Recibir alerta si cambia el aula de último momento ,15.  Ver el estado de conectividad antes de una clase virtual ,16. Que el sistema prediga fallas antes de que ocurran ,16.  ¿Qué tan importante es que el sistema te explique por qué predijo una falla? ,18.   ¿Qué tipo de explicación preferirías? ,19.  ¿Qué tan cómodo(a) estarías con que el sistema use las cámaras existentes para saber si el aula está ocupada? ,20.  ¿Quién debería poder ver tus datos de uso del sistema? ,21.  ¿Qué tan importante es poder corregir o eliminar tus datos? ,"22. Si el sistema te avisa automáticamente ante una falla, ¿cómo te sentirías? ","23.  Si el sistema NO te avisa y debes enterarte por tu cuenta, ¿cómo te sentirías? ","24.  Si puedes ver la disponibilidad de aulas en tiempo real, ¿cómo te sentirías? ","25.  Si NO puedes verla y debes preguntar o ir a revisar, ¿cómo te sentirías? ","26.  Si el aire acondicionado se ajusta automáticamente según la ocupación, ¿cómo te sentirías? ","27.  Si el aire acondicionado NO se ajusta automáticamente según la ocupación, ¿cómo te sentirías? ",28.  ¿Usarías este sistema si estuviera disponible hoy? ,29.  ¿Qué problema con las aulas no cubrimos en este cuestionario? 
2026-07-27 22:41:32.377,Si,3.º – 4.º semestre,4-7,Celular,A veces,A veces,Frecuentemente,Siempre,A veces,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,Un detalle técnico,3.0,Solo administradores,4.0,Me encantaría,No me gustaría,Me encantaría,No me gustaría,Me encantaría,No me gustaría,"Sí, seguro","Por el momento creo que esos serían los problemas que destacan más, así que no veo otro problema no cubierto en este cuestionario"
2026-07-28 00:47:18.017,Si,1.º – 2.º semestre,3-6,Celular,A veces,Frecuentemente,Rara vez,Siempre,Nunca,2.0,2.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,Una frase simple,3.0,Docentes y administradores,2.0,Lo toleraría,Lo toleraría,Me encantaría,Lo toleraría,Lo toleraría,Lo toleraría,"Sí, seguro",
2026-07-28 00:47:50.857,Si,1.º – 2.º semestre,2-5,Celular,A veces,A veces,Nunca,Frecuentemente,Rara vez,2.0,2.0,5.0,4.0,4.0,3.0,3.0,5.0,3.0,Un detalle técnico,4.0,Solo yo,4.0,Me encantaría,No me gustaría,Me encantaría,Lo toleraría,Me encantaría,No me gustaría,"Sí, seguro",Creo que ninguno
2026-07-28 14:31:20.300,Si,3.º – 4.º semestre,4-7,Celular,A veces,Rara vez,Nunca,Frecuentemente,Rara vez,2.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,"Ninguna, solo la alerta",4.0,Solo yo,2.0,Lo doy por hecho,No me gustaría,Me es indiferente,Me es indiferente,Lo doy por hecho,Lo toleraría,Probablemente sí,"Bueno, en este caso mi aula es muy fria esta a una temperafura mas de lo normal y ya que en otras aulas esta mas cómodo y no hace mucho frio"
2026-07-28 14:31:51.765,Si,1.º – 2.º semestre,4-7,Celular,A veces,A veces,A veces,Siempre,Nunca,2.0,2.0,4.0,2.0,3.0,4.0,4.0,4.0,4.0,Un detalle técnico,4.0,Solo administradores,5.0,Lo doy por hecho,No me gustaría,Lo doy por hecho,Lo toleraría,Lo doy por hecho,Lo doy por hecho,Probablemente sí,Las bancas en mal estado
2026-07-28 14:32:29.923,Si,3.º – 4.º semestre,3-6,Tablet,Rara vez,Nunca,Rara vez,Frecuentemente,Siempre,2.0,3.0,1.0,4.0,1.0,3.0,2.0,2.0,4.0,Un ejemplo de un caso anterior,3.0,Cualquier persona de la facultad,4.0,Lo doy por hecho,Me es indiferente,Lo toleraría,Lo toleraría,Lo toleraría,No me gustaría,"Sí, seguro",
2026-07-28 14:34:35.280,Si,3.º – 4.º semestre,2-5,Laptop,A veces,Nunca,Nunca,Frecuentemente,Nunca,1.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Un ejemplo de un caso anterior,2.0,Solo administradores,2.0,Lo doy por hecho,Lo toleraría,Lo toleraría,,,,,El arreglo de los aires 
2026-07-28 14:51:14.950,Si,9.º – 10.º semestre,4-7,Celular,A veces,A veces,A veces,A veces,A veces,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,Un ejemplo de un caso anterior,3.0,Docentes y administradores,3.0,Me es indiferente,Me es indiferente,Me es indiferente,Me es indiferente,Me es indiferente,Me es indiferente,Probablemente sí,
2026-07-28 17:33:05.901,Si,5.º – 6.º semestre,4-7,Celular,A veces,Rara vez,Rara vez,Siempre,A veces,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Una frase simple,5.0,Solo yo,5.0,Me encantaría,No me gustaría,Lo toleraría,Lo toleraría,Lo toleraría,Lo toleraría,"Sí, seguro",
2026-07-28 17:35:29.784,Si,3.º – 4.º semestre,1-4,Laptop,A veces,Rara vez,,Rara vez,A veces,3.0,3.0,3.0,2.0,5.0,1.0,4.0,3.0,3.0,Una frase simple,1.0,Solo administradores,5.0,Lo doy por hecho,Lo toleraría,Me es indiferente,Lo toleraría,Lo toleraría,Lo doy por hecho,No estoy seguro,
