entrevista,n,tipo,wcedenoa2,ymunozq,resuelto_contra_audio,version_elegida
DOC-05,1,solo en wcedenoa2,entrevista ev entrevistador buen día mi,entrevistador buen día mi,,
DOC-05,2,solo en ymunozq,venimos de la facultad de la computación de,venimos de la facultad de ciencias de la computación de,,
DOC-05,3,difiere,entrevistado soy docente de ingles aquí de la facultad,entrevistado soy docente de inglesia aquí de la facultad,,
DOC-05,4,solo en wcedenoa2,en esta eh alma matter desde el año doc,en esta eh alma desde el año eh,,
DOC-05,5,solo en wcedenoa2,matter desde el año doc eh aproximadamente ya estamos,alma desde el año eh aproximadamente ya estamos,,
DOC-05,6,solo en ymunozq,aproximadamente ya estamos acá años y medio en,aproximadamente ya estamos acá años y como años y medio en,,
DOC-05,7,difiere,en la facultad de hecho doc en la facultad,en la facultad de en la facultad de ciencias de la educación doc bueno en línea,,
DOC-05,8,solo en wcedenoa2,facultad de hecho doc en la facultad de ciencias de la educación bueno en línea porque,de la educación doc bueno en línea porque,,
DOC-05,9,solo en wcedenoa2,en mi horario no doc eh aproximadamente unas cinco,en mi horario no eh aproximadamente unas cinco,,
DOC-05,10,solo en wcedenoa2,en en este periodo doc y y bueno las,en en este periodo y y bueno las,,
DOC-05,11,solo en ymunozq,que mejorar eh eso entrevistador mm okay este,que mejorar eh eso mm entrevistador okay este y,,
DOC-05,12,solo en wcedenoa2,mejorar eh eso entrevistador mm okay este y antes,eh eso mm entrevistador okay este y antes,,
DOC-05,13,solo en wcedenoa2,una manera más didáctica doc entonces la conexión internet,una manera más didáctica entonces la conexión internet,,
DOC-05,14,solo en wcedenoa2,cae entrevistador exacto doc exacto pero de ahí regularmente,cae entrevistador exacto doc pero de ahí regularmente,,
DOC-05,15,difiere,primero siempre los coordinadores diarios no para que luego,primero siempre los coordinadores diarias no para que luego,,
DOC-05,16,solo en wcedenoa2,portavoces en la eh doc a la coordinación no,portavoces en la eh a la coordinación no,,
DOC-05,17,solo en wcedenoa2,o hablándolo doc no no lo hago este conversando,o hablándolo doc no lo hago este conversando,,
DOC-05,18,solo en wcedenoa2,en sí un documento eh eh oficial para notificar,en sí un documento eh oficial para notificar,,
DOC-05,19,difiere,se divide en la red y los los docentes,se divide en la rey y los los docentes,,
DOC-05,20,difiere,el conocimiento a nuestros estudiantes qué eh qué hice,el conocimiento a nuestros estantes qué eh qué hice,,
DOC-05,21,solo en wcedenoa2,día qué sería doc sí me repite la pregunta,día qué sería doc me repite la pregunta,,
DOC-05,22,solo en ymunozq,me repite la pregunta si pudiera entrevistador si,me repite la pregunta entrevistador si pudiera si pudiera,,
DOC-05,23,solo en wcedenoa2,la pregunta si pudiera entrevistador si pudiera cambiar una,pregunta entrevistador si pudiera si pudiera cambiar una,,
DOC-05,24,solo en wcedenoa2,algún tipo de mantenimiento doc a ver relacionado equipos gestiones de,algún tipo de mantenimiento relacionado equipos gestiones de,,
DOC-05,25,solo en ymunozq,mantenimientos eh sí ya bueno lo que sí,mantenimientos eh sí ya doc bueno lo que sí,,
DOC-05,26,solo en wcedenoa2,un poco de de entrevistador inconveniente doc preocupación inconveniente,un poco de de inconveniente preocupación inconveniente porque,,
DOC-05,27,solo en wcedenoa2,de de entrevistador inconveniente doc preocupación inconveniente porque no,poco de de inconveniente preocupación inconveniente porque no,,
DOC-05,28,solo en wcedenoa2,si no lo entiendes doc no me dices si,si no lo entiendes no me dices si,,
DOC-05,29,solo en wcedenoa2,dices si es que entrevistador si yo le le,dices si es que si yo le le,,
DOC-05,30,difiere,antes de cerrarla y llamarla por teléfono a alguien,antes de cerrarla y llamar por teléfono a alguien,,
DOC-05,31,difiere,otra persona que me dé solucionando entonces eh eso,otra persona que me esté solucionando entonces eh eso,,
DOC-05,32,solo en wcedenoa2,a ese cambio no doc eh eso entrevistador okay,a ese cambio no eh eso entrevistador okay,,
DOC-05,33,difiere,bueno su respuesta le mostraría en cambio lo que,bueno su respuesta le mostraré en cambio lo que,,
DOC-05,34,difiere,usted pueda ver cómo sería el productotipado miren en,usted pueda ver cómo será el productotipado miren en,,
DOC-05,35,solo en ymunozq,cinco cinco aulas una panel resumido estamos est,cinco cinco aulas una el panel resumido estamos est,,
DOC-05,36,solo en ymunozq,esta el laboratorio está sin señal hdmi entonces,esta el laboratorio está sin sin señal hdmi entonces,,
DOC-05,37,solo en ymunozq,este de un computador doc si no hay,este de un computador si no hay doc bueno en este,,
DOC-05,38,solo en wcedenoa2,de un computador doc si no hay bueno en este caso,si no hay doc bueno en este caso,,
DOC-05,39,solo en wcedenoa2,muy fácil de entenderla doc eh ya que esto,muy fácil de entenderla eh ya que esto,,
DOC-05,40,solo en wcedenoa2,acceder a esta información doc para de manera oportuna,acceder a esta información para de manera oportuna,,
DOC-05,41,solo en wcedenoa2,qué tiempo eh demora doc eh en atender aquello,qué tiempo eh demora eh en atender aquello,,
DOC-05,42,solo en wcedenoa2,eh en atender aquello doc entonces esto ya va,eh en atender aquello entonces esto ya va,,
DOC-05,43,solo en wcedenoa2,a su carrera no entrevistador exacto doc eh le felicito porque,a su carrera no eh le felicito porque,,
DOC-05,44,solo en ymunozq,hacerlo todo como en entrevistador aja no es,hacerlo todo como en no es transparente no habilidad entrevistador exa en cambio,,
DOC-05,45,difiere,todo como en entrevistador aja no es transparente no habría trazabilidad doc exacto en cambio ya aquí,transparente no habilidad entrevistador exa en cambio ya aquí,,
DOC-05,46,difiere,puedo yo sustentarlo no entrevistador okay doc bien en,puedo yo sustentarlo no doc okay bien en lo,,
DOC-05,47,solo en wcedenoa2,sustentarlo no entrevistador okay doc bien en lo que,sustentarlo no doc okay bien en lo que,,
DOC-05,48,solo en ymunozq,ahí eh busque excusas o trate de de,ahí eh busque excusas o o trate de de,,
DOC-05,49,difiere,información que nos ha provee eh doc bueno yo,información que nos ha proveo eh doc bueno yo,,
DOC-05,50,difiere,ustedes están creando y eh eh va a ser,ustedes están creando y y eh va a ser,,
DOC-05,51,difiere,acá en nuestra alma matter no y espero que,acá en nuestra alma macar no y espero que,,
DOC-06,1,solo en wcedenoa2,entrevista ev entrevistador bueno buenos días,entrevistador bueno buenos días,,
DOC-06,2,solo en wcedenoa2,doc aulas a cargo doc cuatro entrevistador cuatro aulas,doc aulas a cargo cuatro entrevistador cuatro aulas,,
DOC-06,3,difiere,entrevistador cuatro aulas laboratorios entrevistador laboratorios doc no entrevistador okay listo,entrevistador cuatro aulas laboratorios doc no no no entrevistador okay listo,,
DOC-06,4,difiere,problema con aires acondicionados o iluminación pues reportar a coordinación como,problema con aires acondicionados puedes reportar a coordinación entrevistador,,
DOC-06,5,solo en ymunozq,pues reportar a coordinación como corresponde entrevistador internet,puedes reportar a coordinación entrevistador como internet de pronto,,
DOC-06,6,solo en wcedenoa2,reportar a coordinación como corresponde entrevistador internet de pronto también,a coordinación entrevistador como internet de pronto también,,
DOC-06,7,difiere,tenido problemas con el hmi supongo doc eso sí,tenido problemas con el hdmi supongo doc eso sí,,
DOC-06,8,solo en ymunozq,es desde el cable entrevistador okay eh bueno,es desde el cable exerc entrevistador okay eh bueno,,
DOC-06,9,difiere,y lo hace mediante que mensajería texto o hablarlo,y lo hace mediante qué mensajería de texto o,,
DOC-06,10,solo en ymunozq,hace mediante que mensajería texto o hablarlo doc,hace mediante qué mensajería de texto o hablarlo doc,,
DOC-06,11,solo en wcedenoa2,texto o hablarlo doc de manera personal o a través,texto o hablarlo doc personal o a través,,
DOC-06,12,difiere,sin saberlo doc no o sea nos enteramos de que,sin saberlo doc no osea nos enteramos de que,,
DOC-06,13,difiere,por un problema de habla qué fue lo que,por un problema de aula qué fue lo que,,
DOC-06,14,solo en wcedenoa2,otra parte que si pudiera cambiar una sola cosa,otra parte que si cambiar una sola cosa,,
DOC-06,15,solo en wcedenoa2,que esté entrevistador depende del aula okay doc claro entrevistador,que esté entrevistador depende okay doc claro porque,,
DOC-06,16,solo en wcedenoa2,aula okay doc claro entrevistador por ejemplo doc porque las aulas tienen,depende okay doc claro porque las aulas tienen,,
DOC-06,17,solo en wcedenoa2,aulas tienen condiciones diferentes doc por ejemplo una es,aulas tienen condiciones diferentes por ejemplo una es,,
DOC-06,18,solo en wcedenoa2,usted pues conozca cómo se sería la parte del,usted pues conozca cómo sería la parte del,,
DOC-06,19,difiere,humedad del del curso es si el proyecto está encendido apagado o,humedad del del curso si el proyector está encendido apagado o,,
DOC-06,20,difiere,la señal de la es cero eh la lación,la señal de la media cero eh la lación,,
DOC-06,21,solo en ymunozq,nada usted lo entendería buenas a primeras doc,nada usted lo entendería de buenas a primeras doc,,
DOC-06,22,difiere,que pueda atender la aceptación entrevistador okay doc eso es lo que,que pueda atender la situación eso es lo que,,
DOC-06,23,solo en wcedenoa2,vista administrativa como tal entrevistador eh usted la podrá,vista administrativa como tal eh usted la podrá,,
DOC-06,24,solo en wcedenoa2,cambio es más específico e la prioridad es alta,cambio es más específico la prioridad es alta,,
DOC-06,25,solo en ymunozq,está pendiente en proceso está finalizada nos mostrará,está pendiente en proceso o está finalizada nos mostrará,,
DOC-06,26,solo en ymunozq,sea esto va referente el equipo está encendido,sea esto va referente a que el equipo está encendido,,
DOC-06,27,difiere,el proyector está en un funcionamiento pero no me,el proyector está en buen funcionamiento pero no me,,
DOC-06,28,difiere,ya han sido abiertos está en proceso o están,ya han sido abiertos están en proceso o están,,
DOC-06,29,difiere,en esta etapa eh y igual le llegará como,en esta etapa eh e igual le llegará como,,
DOC-06,30,difiere,por qué porque necesita ver una una trazabilidad necesita,por qué porque necesita haber una habilidad necesita eh,,
DOC-06,31,difiere,porque necesita ver una una trazabilidad necesita eh ser transparente,porque necesita haber una habilidad necesita eh ser transparente,,
DOC-06,32,solo en ymunozq,mostrará un diagrama para este poder ver a,mostrará un diagrama para bueno este poder ver a,,
DOC-06,33,difiere,representa esto eh también el el seguimiento de ticket,representa esto eh también tenemos el seguimiento de ticket,,
DOC-06,34,solo en wcedenoa2,cuatro eh cuatro pantallas entrevistador cuál sería más complicada,cuatro eh cuatro pantallas cuál sería más complicada,,
DOC-06,35,solo en wcedenoa2,me haría difícil entender doc mi hermana es ingeniera,me haría difícil entender mi hermana es ingeniera,,
DOC-06,36,solo en wcedenoa2,en electrónica y telecomunicaciones entrevistador okay doc y trabaja,en electrónica y telecomunicaciones okay y trabaja en,,
DOC-06,37,solo en wcedenoa2,y telecomunicaciones entrevistador okay doc y trabaja en organizacion,electrónica y telecomunicaciones okay y trabaja en organizacion,,
DOC-06,38,solo en wcedenoa2,y trabaja en organizacion doc entonces para mí es,y trabaja en organizacion entonces para mí es,,
DOC-06,39,solo en wcedenoa2,del aula de clase entrevistador claro doc mmmm tal,del aula de clase claro hm tal vez,,
DOC-06,40,difiere,de clase entrevistador claro doc mmmm tal vez para mí,aula de clase claro hm tal vez para mí,,
DOC-06,41,difiere,tal vez para mí serían bueno conocer si las,tal vez para mí sería bueno conocer si las,,
DOC-06,42,solo en wcedenoa2,redundar en la información entrevistador claro doc eso sería,redundar en la información claro eso sería un,,
DOC-06,43,solo en wcedenoa2,la información entrevistador claro doc eso sería un detalle,en la información claro eso sería un detalle,,
DOC-06,44,solo en wcedenoa2,sería un detalle importante doc que desconozco si también,sería un detalle importante que desconozco si también,,
DOC-06,45,solo en ymunozq,haría antes de reportarla verificar si ya no,haría antes de reportarla es verificar si ya no,,
DOC-06,46,solo en wcedenoa2,listo y este tipo de de consultas la haría,listo y este tipo de consultas la haría,,
DOC-06,47,difiere,estado del aula desde solar antes de entrar a,estado del aula desde su celular antes de entrar a,,
DOC-06,48,difiere,doc mucho mejor porque sea lo que ya me,doc mucho mejor porque sé a lo que ya me,,
DOC-06,49,difiere,lo que ya me enfrente inclusive si es que,lo que ya me enfrento inclusive si es que,,
DOC-06,50,solo en wcedenoa2,pudo solucionar e y en la población fue trasladada,pudo solucionar e y la población fue trasladada,,
DOC-06,51,solo en wcedenoa2,el sino en el doc y directo voy para,el sino en el y directo voy para,,
DOC-06,52,solo en ymunozq,doc bueno es que ciegas no estamos porque,doc bueno es que a ciegas no estamos porque,,
DOC-06,53,solo en wcedenoa2,lo que yo realizo doc y obviamente si hay,lo que yo realizo y obviamente si hay,,
DOC-06,54,solo en ymunozq,sga primero se comunica coordinación ellos nos dan,sga primero se comunica a coordinación ellos nos dan,,
DOC-06,55,solo en ymunozq,de ellos al sga conocer sobre alguna eventualidad,de ellos al sga a conocer sobre alguna eventualidad,,
DOC-06,56,solo en wcedenoa2,considera que la de x doc el panel por,considera que la de doc el panel super,,
DOC-06,57,solo en wcedenoa2,x doc el panel por lo super importante para mí,de doc el panel super importante para mí,,
DOC-06,58,difiere,en mantenimiento considero que estás aquí me permite tener,en mantenimiento considero que este de aquí me permite tener,,
DOC-06,59,solo en ymunozq,permite tener más claro amplio el panorama referente,permite tener más claro y amplio el panorama referente,,
DOC-06,60,difiere,serviría o que usted ya me falta esto desde,serviría o que usted diga me falta esto desde,,
DOC-06,61,solo en wcedenoa2,su rol de docente entrevistador o de pronto qué,su rol de docente o de pronto qué,,
DOC-06,62,solo en wcedenoa2,qué añadiría usted doc o de pronto qué añadiría usted más tengo una pregunta,qué añadiría usted doc más tengo una pregunta,,
DOC-06,63,difiere,y obviamente eso genera cerquitos entrevistador sí cuando los aires acondicionados,y obviamente eso genera charquitos cuando los aires acondicionados,,
DOC-06,64,solo en wcedenoa2,este tipo de situaciones doc se agrega eso allí,este tipo de situaciones se agrega eso allí,,
DOC-06,65,difiere,queda fuera de esas observes entrevistador no lo que,queda fuera de esas observaciones entrevistador no lo que,,
DOC-06,66,solo en wcedenoa2,ah también podría ser es ese es muy bueno,ah también podría ser ese es muy bueno,,
DOC-06,67,solo en ymunozq,ya la parte manual podría detectar incide y,ya la parte manual doc podría detectar incide y,,
DOC-06,68,solo en wcedenoa2,afecta en la clase doc sí incide y afecta en la clase entrevistador mandé doc sí,afecta en la clase entrevistador mandé doc sí,,
DOC-06,69,difiere,centro les molesta la vision y por eso hay,centro les molesta la vista y por eso hay,,
DOC-06,70,solo en wcedenoa2,a los chicos eso doc se añadiría aquí o,a los chicos eso se añadiría aquí entrevistador,,
DOC-06,71,solo en wcedenoa2,doc se añadiría aquí o no entrevistador aquí aquí es,eso se añadiría aquí entrevistador aquí aquí es,,
DOC-06,72,solo en ymunozq,sistema se basa específicamente aire acondicionado el proyector,sistema se basa específicamente en aire acondicionado el proyector,,
DOC-06,73,difiere,el proyector de pronto algún incidente de el aula,el proyector de pronto al incidente de si el,,
DOC-06,74,solo en ymunozq,pronto algún incidente de el aula está sucia,pronto al incidente de si el aula está sucia,,
DOC-06,75,solo en wcedenoa2,sistema entonces eso sería entrevistador bueno listo eh muchas,sistema entonces eso sería bueno listo eh muchas,,
