Posicion,Item_ciego,Origen,Aparicion
1,Item-02,Humano,1
2,Item-29,Humano,1
3,Item-30,LLM,1
4,Item-06,Humano,1
5,Item-33,Humano,1
6,Item-22,LLM,1
7,Item-20,LLM,1
8,Item-46,LLM,1
9,Item-42,LLM,1
10,Item-13,Humano,1
11,Item-05,LLM,1
12,Item-43,Humano,1
13,Item-19,Humano,1
14,Item-34,Humano,1
15,Item-36,Humano,1
16,Item-24,Humano,1
17,Item-12,Humano,1
18,Item-15,LLM,1
19,Item-21,LLM,1
20,Item-22,LLM,2
21,Item-16,LLM,1
22,Item-28,LLM,1
23,Item-37,LLM,1
24,Item-05,LLM,2
25,Item-01,Humano,1
26,Item-13,Humano,2
27,Item-18,LLM,1
