Item_ciego,Completitud(1-5),Ausencia_ambiguedad(1-5),Verificabilidad(1-5),Correccion_fuente(1-5),Consistencia_interna(1-5)
Item-01,4,4,3,2,3
Item-02,4,5,5,4,5
Item-03,2,3,2,3,3
Item-04,5,4,5,5,5
Item-05,5,5,5,4,5
Item-06,4,3,3,3,3
Item-07,2,2,2,3,2
Item-08,2,2,2,4,3
Item-09,2,2,2,2,2
Item-10,5,5,4,5,5
Item-11,3,3,5,4,4
Item-12,5,5,5,5,5
Item-13,2,2,2,5,4
Item-14,4,5,4,5,4
Item-15,4,3,3,4,3
Item-16,4,4,5,4,4
Item-17,5,3,2,3,3
Item-18,4,4,4,4,4
Item-19,4,5,5,5,5
Item-20,4,4,4,5,3
Item-21,3,2,4,4,3
Item-22,5,3,4,4,5
Item-23,5,5,5,5,5
Item-24,4,3,5,5,5
Item-25,3,2,4,3,5
Item-26,3,3,2,1,1
Item-27,5,5,5,5,5
Item-28,3,4,4,3,5
Item-29,4,2,3,3,3
Item-30,4,4,4,3,4
Item-31,2,2,2,1,3
Item-32,3,2,4,3,3
Item-33,5,5,5,5,5
Item-34,5,4,2,3,5
Item-35,5,5,5,4,5
Item-36,3,3,2,3,3
Item-37,5,3,3,3,3
Item-38,4,5,3,4,4
Item-39,5,5,5,5,5
Item-40,3,3,4,2,3
Item-41,4,3,2,4,3
Item-42,4,4,5,3,3
Item-43,3,3,4,3,3
Item-44,2,3,2,3,1
Item-45,2,3,3,3,4
Item-46,2,2,3,1,2
Item-47,3,3,4,5,4
Item-48,4,4,5,5,5
Item-49,4,4,4,4,5
Item-50,2,2,2,2,1
Item-51,4,3,3,4,3
