Item_ciego,Origen,Codigo_real
Item-01,Humano,RF-05
Item-02,Humano,RF-03
Item-03,Humano,RF-16
Item-04,LLM,RFA-10
Item-05,LLM,RFA-24
Item-06,Humano,RF-15
Item-07,Humano,RF-09
Item-08,Humano,RF-04
Item-09,Humano,RF-23
Item-10,LLM,RFA-01
Item-11,Humano,RF-11
Item-12,Humano,RF-13
Item-13,Humano,RF-02
Item-14,Humano,RF-17
Item-15,LLM,RFA-11
Item-16,LLM,RFA-22
Item-17,LLM,RFA-12
Item-18,LLM,RFA-18
Item-19,Humano,RF-22
Item-20,LLM,RFA-09
Item-21,LLM,RFA-05
Item-22,LLM,RFA-21
Item-23,LLM,RFA-08
Item-24,Humano,RF-24
Item-25,LLM,RFA-04
Item-26,LLM,RFA-26
Item-27,Humano,RF-08
Item-28,LLM,RFA-25
Item-29,Humano,RF-12
Item-30,LLM,RFA-16
Item-31,LLM,RFA-06
Item-32,LLM,RFA-03
Item-33,Humano,RF-01
Item-34,Humano,RF-07
Item-35,Humano,RF-20
Item-36,Humano,RF-18
Item-37,LLM,RFA-23
Item-38,Humano,RF-21
Item-39,Humano,RF-19
Item-40,LLM,RFA-07
Item-41,LLM,RFA-19
Item-42,LLM,RFA-17
Item-43,Humano,RF-06
Item-44,Humano,RF-14
Item-45,LLM,RFA-20
Item-46,LLM,RFA-14
Item-47,LLM,RFA-13
Item-48,LLM,RFA-02
Item-49,Humano,RF-10
Item-50,LLM,RFA-15
Item-51,Humano,RF-25
