Item_ciego,Origen
Item-01,Humano
Item-02,Humano
Item-03,Humano
Item-04,LLM
Item-05,LLM
Item-06,Humano
Item-07,Humano
Item-08,Humano
Item-09,Humano
Item-10,LLM
Item-11,Humano
Item-12,Humano
Item-13,Humano
Item-14,Humano
Item-15,LLM
Item-16,LLM
Item-17,LLM
Item-18,LLM
Item-19,Humano
Item-20,LLM
Item-21,LLM
Item-22,LLM
Item-23,LLM
Item-24,Humano
Item-25,LLM
Item-26,LLM
Item-27,Humano
Item-28,LLM
Item-29,Humano
Item-30,LLM
Item-31,LLM
Item-32,LLM
Item-33,Humano
Item-34,Humano
Item-35,Humano
Item-36,Humano
Item-37,LLM
Item-38,Humano
Item-39,Humano
Item-40,LLM
Item-41,LLM
Item-42,LLM
Item-43,Humano
Item-44,Humano
Item-45,LLM
Item-46,LLM
Item-47,LLM
Item-48,LLM
Item-49,Humano
Item-50,LLM
Item-51,Humano
