orden,id_evidencia,fecha,codigos_en_entrevista,codigos_nuevos,codigos_acumulados,saturado_segun_ultimas_3,promedio_nuevos_ultimas_3,umbral_5pct_total
1,EV-01,2026-05-14,5,5,5,False,3.667,1.8
2,EV-02,2026-06-30,4,4,9,False,3.667,1.8
3,EV-08,2026-07-13,3,3,12,False,3.667,1.8
4,EV-09,2026-07-13,1,1,13,False,3.667,1.8
5,EV-10,2026-07-21,5,5,18,False,3.667,1.8
6,EV-11,2026-07-22,4,4,22,False,3.667,1.8
7,EV-12,2026-07-24,3,3,25,False,3.667,1.8
8,EV-13,2026-07-27,3,3,28,False,3.667,1.8
9,EV-14,2026-07-28,4,4,32,False,3.667,1.8
10,EV-16,2026-07-30,4,4,36,False,3.667,1.8
