Item_ciego,Completitud(1-5),Ausencia_ambiguedad(1-5),Verificabilidad(1-5),Correccion_fuente(1-5),Consistencia_interna(1-5)
Item-01,4,4,3,5,5
Item-02,2,3,2,2,3
Item-03,3,4,3,4,4
Item-04,5,5,5,5,5
Item-05,4,4,4,4,4
Item-06,5,5,4,5,5
Item-07,4,5,4,4,4
Item-08,3,4,2,3,3
Item-09,5,5,4,5,4
Item-10,2,1,2,2,3
Item-11,3,2,2,4,4
Item-12,5,4,4,4,3
Item-13,5,4,5,4,4
Item-14,5,4,4,4,4
Item-15,3,3,3,3,3
Item-16,3,3,3,3,2
Item-17,4,5,4,4,3
Item-18,4,4,4,5,3
Item-19,4,4,4,4,4
Item-20,4,3,4,4,5
Item-21,1,2,1,1,1
Item-22,5,5,4,5,4
Item-23,3,1,2,2,2
Item-24,4,5,5,5,5
Item-25,2,3,3,2,3
Item-26,5,5,5,5,5
Item-27,5,5,5,5,5
Item-28,5,5,5,5,5
Item-29,5,5,5,5,5
Item-30,5,5,5,5,5
Item-31,2,1,1,2,2
Item-32,3,3,3,3,3
Item-33,4,4,4,4,4
Item-34,3,3,3,3,3
Item-35,5,4,3,3,4
Item-36,4,4,4,5,5
Item-37,5,5,4,3,4
Item-38,3,4,4,4,2
Item-39,5,4,5,5,5
Item-40,4,5,5,4,5
Item-41,4,3,4,3,5
Item-42,2,3,2,3,4
Item-43,3,3,3,2,4
Item-44,5,4,5,4,4
Item-45,5,5,5,5,5
Item-46,2,2,2,1,2
Item-47,4,5,5,4,5
Item-48,5,5,5,5,4
Item-49,4,5,5,4,5
Item-50,4,5,5,5,5
Item-51,3,4,4,2,3
