n,ID_evidencia,Fragmento,Codigo,Categoria,Requisito_derivado,Codigo_nuevo_propuesto
1,EV-20,"Eh, aproximadamente ya estamos acá 7 años y como 7 años y medio en esta universidad. Y bien, eh, vamos a empezar a su entrevista de acuerdo a este tema muy interesante, de acuerdo al sistema que ustedes quieren proponer en su investigación.",,,,
2,EV-20,"en la Facultad de Ciencias de la Educación, bueno, en línea, porque como les decía, yo soy profesor de inglés en línea, en la facultad estuve dos periodos y ahora tengo ya con este tres periodos, aproximadamente cinco periodos académicos aquí en la Facultad de Ciencias de la Educación.",,,,
3,EV-20,"y y bueno, las mismas que las usamos porque, bueno, gracias a Dios estamos en una facultad donde la infraestructura es nueva, pero eso no quiere decir que no haya algún incidente, algún incidente, alguna situación que que haga falta o que haya que corregir o que haya que mejorar. Eh, eso.",,,,
4,EV-20,"Bueno, eh lo que sí eh siempre estoy pendiente es que la conexión de internet sea óptima, porque hoy en día, bueno, sabemos la realidad de acuerdo a la innovación educativa, usamos mucho la conexión al internet para poder eh de una u otra manera eh impartir nuestras clases usando diferentes herramientas tecnológicas. Bueno, yo le decía a usted que soy profesor de inglés y existen un sinnúmero de aplicaciones, software, páginas web que las usamos para poder enseñar de una manera más didáctica.",,Conectividad de red,,Verificacion_previa_conectividad_internet
5,EV-20,"Entonces, la conexión internet siempre estoy pendiente de que sea óptima. Eh, bueno, en nuestra facultad, como les decía, eh como es un eh tenemos una infraestructura nueva, eh en ocasiones, parece ser cuando hay en horarios que hay mucha actividad en la conexión es que un poco se cae.",,Conectividad de red,,Saturacion_red_por_uso_concurrente
6,EV-20,"Exacto., Pero de ahí regularmente está óptima la conexión. Si vuelvo y repito, depende las actividades que los profesores programen. Entonces, si hay varias personas conectadas, ahí es que un poco hay una saturación.",,Conectividad de red,,Saturacion_red_por_uso_concurrente
7,EV-20,"Bueno, eh primero siempre los coordinadores diarios, ¿no? Para que luego ellos sean los portavoces en la eh",Reporte_verbal_sin_registro_digital,Trazabilidad y responsabilidad,,
8,EV-20,"a la coordinación, ¿no? Entonces eh si existe alguna situación, entonces pues siempre ustedes como docentes vamos de acuerdo al orden jerárquico, comunicamos eh eh lo que se esté presentando para buscar una solución de manera oportuna.",Reporte_verbal_sin_registro_digital,Trazabilidad y responsabilidad,,
9,EV-20,"Bueno, eh desconozco si es que existe en sí un documento eh eh oficial para notificar alguna normalidad en el aula. Desconozco por eso que yo lo hago eh conversando con la coordinación de área.",Reporte_verbal_sin_registro_digital,Trazabilidad y responsabilidad,,
10,EV-20,"Bueno, le comento que al menos en nuestra facultad sí ha habido respuesta positiva debido a que luego se generó un nuevo ingreso, como decir, al a al a la red. Hace un tiempo atrás eh teníamos una red donde todos tanto alumnos y maestros ingresaban hoy en día se independizó. Parece que hay como otro, no recuerdo el nombre correcto, el nombre técnico, cuando se divide en la red y los los docentes accedemos de una manera y los estudiantes de otra manera ubicando eh nuestro usuario y además nuestra contraseña. Eso ha permitido de que haya mejorado y así no se sature tanto la conexión.",,Conectividad de red,,Saturacion_red_por_uso_concurrente
11,EV-20,"Bueno, eh yo creo que no solamente por conexión, a veces por alguna situación, ¿no? Eh eh uno siempre tiene que buscar las formas de solucionar, ya que eh para eso estamos los docentes, ¿no? Para buscar diferentes estrategias y y llegar con el conocimiento a nuestros estudiantes. ¿Qué eh qué hice? En sí, por ejemplo, recuerdo en algún momento que tenía preparado una evaluación formativa en el sistema de gestión académica y justo eh parece ser que se había quemado un transformador en una en un área de por acá cerca, entonces no había energía en todo el e el pabellón. Entonces eh buscamos otra forma, nosotros evaluamos habilidades. Entonces, si ya la tenía escrita, lo que hice es evaluarle de manera oral a los estudiantes y fue eh mucho más positivo porque de eh podemos de esa manera identificar el el avance de del desarrollo de las habilidades de los alumnos.",Impacto_tiempo_clase_por_falla_no_resuelta,Adopcion y confianza,,
12,EV-20,"A ver, relacionado equipos, gestiones de mantenimientos, eh, sí, ya. Bueno, lo que sí veo es que en ocasiones eh veo que hay deficiencia, bueno, el agua parece ser que eh en los baños eh a veces eh no sé si la bomba es muy eh muy muy deficiente para abastecer o no sé si debería haber un estanque elevado como para abastecer con más agua porque de eh me me comunicaba uno de los conserjes que eh se distribuía el agua para tres baños y tres carreras. Entonces, parece que según el horario se consume rápido el el agua del tanque elevado, creo yo, que hay, y no y no se abastece. Entonces, hay horarios que a veces eso también genera un poco de de",,Limitaciones fuera de alcance,,Problema_infraestructura_no_relacionado_al_sistema
13,EV-20,"preocupación inconveniente porque no hay agua a veces en los baños. Pero eso le digo, parece ser que esto en horarios eh cuando los alumnos unos este, ¿cómo es? Eh, tienen un momento de break, unos 10 minutos, entonces parece ser que si se utilizan todos al mismo momento como que se gasta rápido el agua.",,Limitaciones fuera de alcance,,Problema_infraestructura_no_relacionado_al_sistema
14,EV-20,"Depende. A ver, depende. Eh, ustedes saben que hoy en día hay un sinnúmero de de herramientas que nos permiten resolver alguna solución ená para poder eh resolver un problema y buscarle solución a lo mismo. Entonces, primero yo soy de las personas que primero intento yo resolverlo antes de buscar a otra persona que me dé solucionando. Entonces, eh eso",,Usabilidad de interfaz,,Autonomia_resolucion_previa_a_soporte
15,EV-22,"Bueno, en esta facultad en esta facultad desde casi inicio desde que se fundo la facultad deciones de este año y medio sería el tercer ciclo dentro de la facultad distintas asuras y docencia general. Bueno, tengo 18 años trabajando en la docencia. Entonces entre colegio, universidad, te podría decir unos 7-8 años por ahí aproximadamente.",,,,
16,EV-22,"Bueno, dirección de aire, pero sí que he estado en trabajando en aulas de la facultad de ciencias empresariales, en la facultad de ciencias de ingeniería y ahora en esta facultad la facultad de ciencias deciones. También he estado trabajando en aulas de la Universidad de Canada en España, la facultad de de de computación como es la Escuela Técnica Superior de Informática y que se llama estado también en aulas de del Centro de Investigación Tecnológico eh de tecnología de información y investigación de Granada.",,,,
17,EV-22,"Que esté en buen funcionamiento. Bueno, como general, como profesor, ¿no? Eh, lo primero que las aulas estén en condiciones. En condiciones hablo de que integramos el la parte tecnológica wifi o el punto de red o los cables para para las proyecciones, ¿no? Como e HDMI que se necesita para el proyector.",,Conectividad de red,,Verificacion_previa_conectividad_internet
18,EV-22,"Cuando hay incidente, pues en ocasiones un que hubo con la toma del del HDMI, ¿no? Eso en su momento se lo dije al cierto Y luego después sí que le avisé expresamente a la coordinadora.",Falla_recurrente_conexion_HDMI,Control remoto de equipos,,
19,EV-22,"si bueno, hay esta incidencia y entonces yo fundamental profesor de tal asignatura tuve incidente este día estaba chusica no hay ningún formato, creo yo, preestablecido. Entrevistador Claro.",Reporte_verbal_sin_registro_digital,Trazabilidad y responsabilidad,,
20,EV-22,"No hay. La brecha ahí es que no hay un un proceso donde inicie y donde termine, ¿no? Por lo general, cuando empiezas un proceso, una incidencia,  Eh, la inicies Por lo general debe seguir su paso a paso y te deben de notificar",Necesidad_notificacion_estado_ticket,Gestion de mantenimiento y tickets,,
21,EV-22,Pero eso no. De momento creo que todavía eh nos falta aquí una facultad para que se pueda ejecutar.,Dependencia_procesos_administrativos_externos,Limitaciones fuera de alcance,,
22,EV-22,"Sí, lo que sí también que la propuesta es nueva, entonces estamos recién iniciando y y los procesos pues son burocráticos. son administrativos que toman su tiempo, no se lo puede tomar a la ligera, ¿no? Eso que siempre tiene que estar normal a través de algún tipo de institutivo que sea aprobado y que está avalado por las autoridades para que sea pero mientras lo que hacemos es eh como necesitamos a la facultad, pues lo que buscamos es intentar solucionarlo por una parte.",Dependencia_procesos_administrativos_externos,Limitaciones fuera de alcance,,
23,EV-22,"Aquí en esta facultad mmmmm fue en alguna ocasión que en el aula habían unido en toma eh la toma del HDM5, del HDMI, ¿no? Y ya no podía dar clase. Nosotros eh buscar tuvimos que buscar el conserje En este caso unos estudiantes que nos ayudaron ahí y nos cambiamos de aula.",Falla_recurrente_conexion_HDMI,Control remoto de equipos,,
24,EV-22,"Sí, eso lo lo más así de ahí. Lo típico que si se va el internet pues yo intento a través del teléfono usarlo mientras pueda para resolver la la conectividad de de del inlazo del trabajo importante.",,Conectividad de red,,Contingencia_docente_ante_falla_conectividad
25,EV-22,"Yo creo que no, porque ya cuando se las tiene la la el aula se supone que está en condiciones y este edificio es nuevo y todas las condiciones que debe tener el el edificio, el aula las tiene, ¿no? Los daños que hay pues se dan dentro del semestre y hay dentro de lo normal, ¿no? Que todos los días están con HDMI y es normal, no para mí no creo que pueda surgir algo.",,,,
26,EV-22,mmm bueno es que no ya uno de área de informática se me hace complejo en saber como lo uso.,,Usabilidad de interfaz,,Percepcion_complejidad_uso_no_especializado
27,EV-22,¿este puente del control? [PENSANDO] Para mí lo general sería que el esté alto Y el resto de de información pues se comprimiría si si yo si a mí me interesaría.,Simplificacion_historial_ticket_un_solo_estado,Usabilidad de interfaz,,
28,EV-22,"qué información que me interesa si es que me interesa dentro de este panel aquí de de tablero de comando, por decirlo así, tablero de comando, ya aquí me sale a 102 alta, pues yo voy directo.",Preferencia_vista_individual_no_grid,Usabilidad de interfaz,,
29,EV-24,"Claro que sí, con gusto. Eh, bueno, llevo un aproximado de un año ya aquí dentro de la universidad eh impartiendo clases",,,,
30,EV-24,"Mm, bueno, en el diario vivir pueden surgir muchas, muchas circunstancias. Por lo general ha sido o el bajón de energía o que de pronto el internet eh de aquí de la red no funcione y toca como docente, igual uno tiene que tener listos sus datos. Entonces, eh, porque ese sería uno de los principales factores, ¿no? Sabemos que como docentes una de nuestras principales funciones es poder tomar asistencia, ¿no? Entonces, si no hay internet, ¿cómo constatamos eso dentro de del SGA, por así decirlo, pero siempre hay que tener ese plan B, que es tener, pues, obviamente nuestros datos móviles para poder tener eh el internet y poder constatar la información.",,Conectividad de red,,Contingencia_docente_ante_falla_conectividad
31,EV-24,"Hm, bueno, como tal del Internet si se, si informa en primero a coordinación de pronto para que nos ayude a gestionar mediante un comunicado a las entidades competentes que nos puedan ayudar con internet y todo, pero hasta que ese proceso pues pueda realmente estar validado, pues nosotros como docentes igual tenemos que estar preparados, como le indico, ¿no? Eh, siempre.",,Conectividad de red,,Contingencia_docente_ante_falla_conectividad
32,EV-24,"Como posponer y, o sea, posponer, no, más bien un poquito de tiempo que se llevó para tratar de solucionar de pronto porque el cable no funcionaba con lo del HDMI. A veces eh por más que uno tenga dos, tres cables, no sé si es el interruptor del HDMI que a veces no funciona y toca estar como que intentándolo hasta que funciona, ¿no? Pero igual sí quita un poquito de tiempo, pero si ya veo que de pronto no funciona, pues toca volver a lo tradicional, ¿no? Dar la clase de manera oral, hacer uso de la pizarra y más que todo también funciona muchas veces el trabajar con aula invertida, ¿no? Hacer que el estudiante de pronto haya visto algún video porque también puede ser que el audio no funcione al momento de proyectar, pero ya el hacer el aula invertida como que facilita un poco las cosas.",Impacto_tiempo_clase_por_falla_no_resuelta,Adopcion y confianza,,
33,EV-24,"Bueno, o sea, yo interpreto que todo esto es una secuencia, ¿verdad? Para el paso a paso de lo que se debe registrar, pero diría yo que eh este sería como que el primer apartado, entonces se ve como de manera resumida todo el proceso que va que embarca.",,,,
34,EV-24,"Bueno, como docente me interesa saber esto, sobre todo el proyector funciona o no. O sea, me daría la pauta si realmente está encendido o si no tiene el funcionamiento para yo saber que ese día en mi clase tengo que eh hacer uso de otro recurso.",Aceptacion_panel_centralizado,Adopcion y confianza,,
35,EV-24,"Sí, sí le comprendo. O sea, que por cada mosaico uno eh ubique ahí y se expanda la información.",Preferencia_vista_individual_no_grid,Usabilidad de interfaz,,
36,EV-24,Ya sea por etiqueta o por como un color código que indique que esa aula de pronto tiene alguna novedad.,,Usabilidad de interfaz,,Sugerencia_codigo_color_por_estado_aula
37,EV-24,"O rojo indicando que hay una criticidad muy alta, porque eso sí me parece sería lo ideal como que categorizar por colores, o sea, que es como que más rápido, de mayor acceso, ve rápido el aula cómo está, el estado del aula. Ajá.",,Usabilidad de interfaz,,Sugerencia_codigo_color_por_estado_aula
38,EV-24,"Bueno, ustedes son los expertos, pero hasta aquí todo lo que he visto y lo que me han mostrado y explicado está bien.",,,,
39,EV-24,"Ah, pero bueno, eh, ¿cómo se sentiría? Eh, le daría igual como docentes, nosotros tenemos que estar preparados, ¿no? Eh, sabemos que en cada inicio o cada clase nos encontramos con novedades, ¿no? Ya sea que ese día no funciona el aire, que ese día no funciona el proyector, pero debemos estar preparados. Claro que sí, como que varía un poquito la dinámica de la clase, pero no debería repercutir.",,,,
